sentiment,review_text
Negative,Also micromanagement exist when manager only trust the leader not knowing the real problem from colleague.
Positive,pb has a lot of benefits.
Positive,Good for fresh graduate
Positive,"The most enjoyable part was achieving targets through my own effort,"
Positive,Have nice benefit compare to other company
Positive,Good for fresh grad
Positive,It can be hectic at one point but productive.
Positive,High work load comes with great help from colleagues
Positive,Gain a lot of benefits.
Negative,"Can be limited progression, especially in a competitive environment."
Positive,Good salary
Negative,"Furthermore, the promotion structure appears to be heavily influenced by seniority and favoritism rather than clear meritocracy, which can be discouraging for high-performers."
Negative,Please reconsider if you expecting to have stable career soon after graduation.
Positive,Engaging and Challenging
Negative,Bossy
Negative,HR and HQ is OK but CURRENT Manager is TOXIC
Positive,Can get more incentive of you work hard.
Positive,with good benefits
Positive,Good OT pay.
Negative,"Everyone walking like super flash, too much work to be settle."
Positive,"The department is well-organized, with clear procedures for loan processing, credit assessment, documentation, and compliance with banking regulations."
Negative,The position is really stress.
Negative,management dont want to help you or give you proper direction
Negative,i find it even in a week it is too overwhelming.
Negative,"Overall, not a supportive place to grow long-term."
Negative,but bad management
Positive,People are friendly and easy to approach.
Negative,but not a good thing for introverts.
Positive,Promotion can be very fast to some work function given the person is high performer in the team or department.
Positive,Highly paid bonus and overtime
Positive,"Work life balance is achievable if you're in the right division, right department and under the right team."
Negative,Expect us to get the highest more KPI than in JD.
Negative,Micro-management will happen if u dont hit ur target
Negative,Unreasonable workload.
Negative,Sales oriented working culture
Positive,Good workplace
Negative,Not enough of staff so ask to do extra work.
Positive,Good place for learning.
Positive,"Public sector banks are known for offering stable and attractive salary packages, making them a popular choice for individuals seeking long-term career opportunities."
Positive,Fun and new experience.
Negative,This has resulted in inefficiencies and missed opportunities for improvement.
Positive,Career Development: Offers structured training programs and opportunities for internal mobility.
Negative,Manual process a lot redundant work causing a lot work
Positive,A good company to start with in banking line
Positive,But the people is fun and willing to share the experiences.
Positive,A good place to learn and improve in.
Negative," but suffers from outdated systems, clunky app, heavy workload & limited workâlife balance."
Negative,"Cons No more work from home, and fixed working hours."
Negative,Dont really like the benefits they offer especially in terms of commision.
Negative,but no work life balance
Negative,"I wanted to stay but I felt disappointed for a couple of reasons, which made me resign."
Negative,Working as Collector is hard as doing Sales for bank.
Positive,Good bonus
Positive,Most people here are around your age so youâll definitely be able to get along with everyone there.
Positive,other colleagues she treated well.
Negative,No life balance.
Positive,Good working environment.
Positive,The starting salary is quite good.
Positive,Target given by company higher 
Negative,Little to no staff engagement
Negative,This imbalance has taken a toll on morale and productivity.
Negative,"limited support and some bias in how situations are handled, especially concerning differences in religion."
Positive,"Branch environment is good, got to know and work together with new people."
Positive,Over all good experience and good remuneration.
Positive,"They are offering better benefits in comparison to other companies, i.e. annual leave, medical, insurance etc."
Positive,Benefit and bonus
Positive,Pleasent people to work with.
Positive,Learned a lot of skills.
Positive,Good pay for OT
Positive,Lots of benefits.
Positive,Benefits were great for big company.
Negative,"Software are outdated, payment system is slow and 90s era."
Positive,The food at the cafe is so good.
Positive,Good environment and management 
Positive,Hsbc pay good salary.
Positive,Good place and good job
Positive,Good to work
Positive,I learned how a leading financial institution operates and gained hands-on exposure to real banking tasks.
Negative,the working there is quite tough for people who are passionate can work there.
Positive,Good pay
Negative,Your workload will be increased without letting you know in advance or without asking your permission to do so.
Negative,"The workload can be overwhelming, often requiring employees to work long hours with little acknowledgment or compensation."
Positive,"Fun people, company guidelines are ever changing"
Positive,"Overall, my internship at Maybank gave me a strong foundation and clearer understanding of the banking industry."
Positive,Good place to work but quite hierarchical due to the large size of the organisation.
Positive,good salary
Positive,it was fun at first 
Positive,"The location is near the public access which is good, training and script is given and the colleague is helpful."
Negative,Only 'some' supervisor are really getting on your nerve
Negative,"schedule rotate every two weeks ,training sometime not enough time"
Positive,"Everyone so kind, though workloads might be heavier for senior exec, but yeah."
Positive,"Everything is great here, can learn so many things "
Positive,Good place to learn for fresh.
Positive,"Bonuses and annual increments are also part of the compensation structure, making it financially rewarding over time."
Positive,"I was involved in data entry, customer service, and administrative work, which improved my attention to detail and time management."
Negative,"Even if you have a little progress within 4 months, the boss and my mentor won't be happy or celebrate your progress, the only thing they do is by forcing you to do faster with increasing amount of workloads."
Negative,"The job itself is stressful (the flow, the calls, the volume)."
Positive,friendly and supportive team.
Negative,They keep on asking why cant achieve the target.
Positive,In terms of learning and experience you might gain a lot
Positive,"but friendly people and good pay, will help me when i ask for help, "
Positive,Good and productive place
Positive,"Most colleagues are helpful and professional,"
Positive,"I learned to manage pressure, improve my communication skills, and adapt quickly especially after the Citi Bank migration."
Negative,Poor leadership
Negative," but need to work overtime most of the time for my role, quite challenging for my role"
Positive,"Rights by you, United-Work as one"
Positive,Overall it's a good workplace and there are many roles in the Bank where you can apply for swaps.
Positive,Team members also nice .
Positive,"Good compensation, "
Positive,Fun and supportive culture but too many task
Positive,but benefit all great
Positive,"Good benefits such as maternity, healthcare, dental, optical, etc."
Negative,Chances of you getting a job permanently is almost impossible.
Positive,Teamwork is always there in the bank industry.
Positive,"Performance bonus , commission scheme for sales staff , retirement benefits for all officer level ."
Positive,"Everyone worked together towards common goals, and the management valued hard work and integrity."
Negative,"Additionally, there appears to be a lack of transparency in commission structures, with practices that may unintentionally favor certain individuals."
Positive,"The acceptable overtime policy allowed for a healthy work-life balance, and the collaborative atmosphere within the bank made the workload more manageable."
Positive,Please try this position as you will improve you thinking skill and communication skill.
Negative,The workload that you must do was not worth it by the salary offer
Positive,"Overall, the internship was rewarding, offering significant learning and development opportunities."
Positive,good colleagues
Positive,The staff benefits were good.
Positive,Itâs a place where dedication and hard work are key to success.
Positive,benefits are great
Positive,Anyways I find many good friends.
Positive," it offers stability, career growth opportunities, and valuable banking experience."
Negative,The Hardest Part: - KPI & Do sales since slow walk in at the branch
Positive,Good benefits
Positive,"The leadership team was approachable, and there were many opportunities to grow and learn within the organization."
Negative,"if you like to work late at night without ot, getting scold with your senior, getting push by your colleges, unproper training given by your company, then this is the job your looking for."
Positive,"team work is going well with team members, management is goodï¸ Together progress"
Positive,Busy but supportive work environment
Negative,Poor management and lack of guidance
Positive,Productive & Good Place to learn
Positive,I enjoyed the most during work-collaboration with other departments
Negative,"There seems to be a disconnect between upper management's vision and the day-to-day operations, leading to confusion and a sense of aimlessness among employees."
Positive,valued experience
Negative,Too much politics
Negative,Unproper training.
Negative,Workload didnât worth the salary.
Negative,Challenging environment
Negative,Creating a bad environment to work.
Positive,Meet good colleagues and friends.
Positive,Stable job and good remuneration.
Positive,Good for fresh graduate to take experience
Negative,Hardly have employee empowerment.
Positive,"While there is still room for improvement in terms of workload balance and clearer communication at times, the overall atmosphere remains motivating."
Positive,"The working environment was professional yet friendly, making it easy to adapt and learn."
Positive,"fun, nice, chill workplace, sometimes stressful, Good for Union Staff (Low Rank Position Fixed annual increment and salary adjustment every year, however amount is small"
Negative,No proper workspace for meeting clients
Positive,Team mates are knowledgeable and helpful.
Positive,I take has a challenge and enhance my work skill.
Negative,"Moreover, there is a lack of transparency in the compensation distribution process."
Positive,Colleagues were very helpful.
Positive,Year-end bonus is very generous.
Positive,Good commission and fun place to work Nice and understanding management Stressful when comes to sales.
Positive,Great for experience
Positive,Good environment and helpful colleagues.
Negative,Not suitable for family person.
Positive,Nice workplace.
Positive,good environment and supportive
Positive,Good thing are the benefits like AL and bonus.
Negative,Buli staff all the way eventho they made mistakes n didnt admit it.
Positive,Good benefits like flexcare.
Positive,Flexible Workplace
Positive,Good place to work.
Positive,Good colleagues and the task can be conducted efficiently.
Positive,The most enjoyable part of the job is people to guide you and some genuine people around.
Positive,Customer base are quite wide and can be tricky to handle but the customer are very warm to hear any proposal from maybank
Positive,Benefits wise are quite good in banking industry.
Negative,Career growth no unless you are chinese
Positive,Good company and exposure for junior level.
Positive,"Colleagues are friendly, have to service with a lot of walk in customers, normally you can only start your works after 4pm"
Positive,Good Benefits 
Positive,"High salary, especially for fresh graduates who intend to work here"
Negative,bad management.
Positive,Best learning experience.
Positive,Great medical benefits
Negative,"At times, certain staff members have spoken harshly or disrespectfully toward others, yet no action was taken to address it."
Positive,"selling sme loan by looking for your own cases are hectic having a good leader to guide you along the way as a freshie would help out a lot nonetheless, good benefits and flexible work schedule"
Positive,"The work environment is fast-paced, with supportive senior colleagues and ample opportunities to learn."
Positive,RHB take care of staffs and give good benefit 
Negative,Not recommended
Positive,"as this would be the great platform to sharpen my communication skills, knowledge enhancement, grow in self-contidence & maturity and develop good teamwork"
Positive,Learnt a lot of new stuff and get a lot of help from higher ups regarding the work scope.
Positive,the good place to enhance skill in ur career in financial institutions .
Positive,"work life balance, good elearning"
Positive,"Overall, this experience has been enriching, and Iâm grateful for the opportunity to have been part of such a dynamic environment."
Positive,"My time at PBB was a valuable learning experience, and I'm grateful for the opportunities I had during my tenure."
Positive,"A lot of parties or events, good for extrovert "
Positive,"The workplace also provides good opportunities to develop new skills, whether through hands-on tasks or guidance from more experienced colleagues."
Positive,"work life balance, good elearning, internaltional exposure, the pay might not as high as other local bank but they pay is quite fair."
Positive,Good career progression opportunities
Positive,good for learning something new
Positive,Colleagues nice and helpful Got shift allowance Be independent and quick learn in order to settle customer inquiries
Positive,Fast paced environment and can learn a lot of new things.
Positive,friendly staff and good environment.
Negative,"Superiors are just not very welcoming, there is this heavy aura around them."
Positive,Good Hybrid working + flexible hours
Negative,"The management doesn't help, but adds more stress "
Negative,Poor leadership where the leader work too long and has all the power.
Positive,Healthy communication and good experiences.
Positive,Helpful colleagues as well and are willing to teach new joiners.
Positive,"Learn various things during my period, got the supportive supervisor and good working environment."
Positive,"I had the chance to work on real-world projects, apply my skills, and learn from talented professionals."
Negative,"As a result, employees are now handling workloads far beyond their capacity, yet compensation remains minimal, with low increments and bonuses."
Positive,Helpful senior but seniority culture quite strong
Positive,The remuneration is also quite good.
Negative,Not productive and efficient environment
Positive,Great for newbie.
Positive,"The team is friendly, approachable, and always willing to help when needed."
Negative,Cons workload is alot
Negative,"Work Load, old systems, difficult to get permanent."
Positive,"This experience allowed me to enhance my communication, teamwork, and problem-solving skills while learning from experienced professionals."
Positive,"This experience allowed me to enhance my communication, teamwork, and problem-solving skills while learning from experienced professionals."
Positive,Value employees and provide training and development as well as experiences
Positive,my supervisor has been very helpful in teaching me the basics of the job to start of in the industry.
Positive,Fun and encouraging
Positive,"Learn a lot, good managers"
Positive,Good environment for fresh geas.
Negative,"However, the workflow very messy & u gotta do everything & not specialised in something, which not align with my career goals."
Positive,so far ive had good time with good manager.
Positive,Nice place to work
Negative,Too much politics issue between bosses which is affected the staff.
Positive,"Overall, it has been a valuable and rewarding experience that has strengthened my skills and understanding of the role."
Positive,good place to work
Negative,Banking will be stressful
Positive,"Working at CIMB Bank offers a range of experiences, Learning Opportunities: can develop new skills and advance the career"
Positive,"They always include me in every meeting, give advices and guide when I need it."
Positive,Great benefits.
Positive,Good bonus and benefit.
Positive,stressful job but great benefit
Positive,Made many amazing friends .
Positive,Everyone is welcoming and even the ceo are greeting interns in a friendlt manner.
Positive,Good vibe working here
Positive,fun to work with
Positive,A typical work place with great colleagues and manager in guiding the work flow.
Positive,The Hire Purchase Department at Public Bank provides a structured and professional working environment that offers valuable exposure to consumer financing and credit operations.
Negative,"I felt stress and harmful to continue my job, lastly I suggested to leave the organization."
Positive,"Thereâs a good work-life balance, especially with the weekly work-from-home option."
Negative,"When come to salary/OT/claim/commission, leader always try to deceive(always need to further find out with HR)."
Positive,What you learned: - Good Communication
Negative,very tedious job .
Positive,The good thing about the management
Positive,RHB created happy and enjoy environment 
Positive,Good pay and bonus.
Positive,These benefits reflect the companyâs commitment to supporting and enriching the lives of its employees.
Positive,It provided me with valuable insights into the cooperative banking sector and contributed significantly to my personal and professional development.
Positive,"Teamwork , work life balance especially gor ladies."
Positive,goodplace for newbies.
Positive,Pay is high
Negative,Stressful if cannot hit sales target
Positive,Very helpful managers that guides me in any way possible.
Positive,A lot of opportunities to learn and develop skills
Positive,"A key advantage is the inclusion of various allowances such as housing rent allowance (HRA), dearness allowance (DA), and special allowances."
Positive,Good place to start as a first time official job.
Negative,"the overall experience has been subpar due to ineffective management, poor work-life balance, and limited career development opportunities."
Positive,Good bonus and benefit
Negative,"Cannot go back on time, a lot of manual work and unnecessary things."
Positive,"Great benefits such as annual leave, medical benefit."
Positive,good experience and trained to become good customer services.
Positive,Its a good place to learn and good career progression.
Positive,Good start to learn to be a banker.
Positive,Career Growth Opportunities: Maybank is known for offering career advancement opportunities.
Positive,This is the best thing in PB.
Positive,Some OICs did good things when they willingly shared notes about raising the service request.
Positive,Good bosses.
Positive,Every piece of advice and every small lesson has helped me improve and become more efficient in handling my responsibilities.
Positive,Supportive boss and good colleagues
Negative,Some staffs act bossy and like to scold colleagues.
Positive,good working environment
Negative,no work life balance
Positive,Supportive colleagues around to show and guide how the job is done .
Negative,"Impose very strict and lousy rules and most of the time, very pushy and keep forcing staffs to perform OTs."
Positive,"Have a good benefit, continuous learning, great teamwork with the team."
Positive,Fun work place
Negative,Stressful job with little support or recognition.
Positive,"The work culture was friendly, supportive, and team driven."
Positive,Good employee benefit.
Positive,Fun working environment
Positive,"I appreciate the collaborative culture, where ideas are welcomed and everyoneâs input is valued."
Positive,"good colleagues, good environment and good management."
Positive,but you might meet some great management
Positive,Fun workplace
Positive,Good salary and bonuses Alot of annual leaves Average for benefits Stress depends on department Good environment and can learn alot Overall good for starting career here
Positive,Fun to mix around with other departments as everyone is in an open office.
Positive,Great environment 
Positive,Work-Life Balance: Reasonable workload and flexible arrangements support personal well-being.
Positive,The office is great and has a nice team to work together.
Negative,some management are suck 
Positive,Colleagues are helpful and supportive.
Positive,"With thorough guidance and resilient, every job made possible."
Negative,"substandard human element when management deals with employees, poor EQ and low empathy."
Positive,"Good environment, good salary, will give u experience, "
Negative,"Additionally, the work-life balance at CIMB leaves much to be desired."
Negative,"High pressure, long hours, limited growth opportunities."
Positive,good place for newbies
Positive,"One notable aspect of the job was the yearly bonuses, which were exceptionally good."
Positive,"In conclusion, while there are some positive aspects to working at CIMB, such as a supportive team environment and convenient location, "
Positive,Colleagues are supportive and helpful 
Positive,Flexible working hours and supportive colleagues.
Negative,One of the most glaring issues is the lack of effective management.
Positive,Employee recognition and culture.
Positive,All the team was very helpful.
Positive,Good company to work for.
Positive,I spent more than 10 years at Bank Islam and found the benefits to be quite comprehensive.
Positive,Good place to start your career
Positive,The workplace is nice and people are also willing to help.
Positive,Rights by you both to the staff and customer
Positive,"HR is so helpful, usually remain in the company after internship."
Positive,"On a personal level, they are approachable and supportive, creating a friendly and collaborative environment."
Positive,Work-Life Balance: Many reviews highlight the company's efforts to maintain a good work-life balance.
Positive,Great networking
Negative,Cons: Pace of Change: Decision-making can sometimes be slower due to the size of the organization.
Positive,In some teams you generally get good colleagues who are supportive.
Negative,Forcefully have to OT on weekdays without paid!
Positive,"All colleagues, team leaders and seniors are all great."
Negative,My time at CIMB has unfortunately been less than satisfactory.
Positive,"The team was supportive and always willing to guide me, which helped me develop both technical and communication skills."
Positive,"The company fosters a culture of feedback, which helps employees feel heard and valued."
Negative,"Long working hours without pay, old school, very traditional company, a lot of paperworks, system always hang especially in the eveningâ¦ nothing good except the benefits like increment and bonus and low interest on HL and HP.."
Positive,Good set of elearning to keep employees embraced with the current economy.
Positive,Decent Place to Start Your Internship
Positive,Supportive colleagues as they always show the guidance towards the new employees.
Positive,Really enjoyed
Positive,"There is always a good teamwork, hopefully this been continued."
Positive,Productive and hectic
Positive,Good employee benefits.
Positive,They trained you to become professional in handling customer Good experience in banking system Friends are very friendly Making new friends and helpful friends
Positive,Competitive Progression: Career advancement can be competitive in certain departments.
Positive,"A good team can help ease the workload, provide guidance, and create a positive work environment, making it easier to manage stress."
Positive,Colleagues is helpful and friendly
Positive,Good paying company and work life balance.
Positive,Nice colleagues and good place to learn.
Positive,"There is a strong sense of teamwork, and people enjoy working in a diverse, respectful, and supportive environment."
Positive,"Public Bank offers strong pay, bonuses & stability,"
Negative,"There was no work-life balance, and internal politics were overwhelming."
Negative,Bad management
Positive,Productive and good place to learn
Negative,"therefore, explore other firm or field this place is not recommended for the sake of sanity."
Negative,System very outdated & bad.
Positive,but enjoyable routine that kept me motivated and constantly learning.
Positive,"Nice place to start your career, "
Positive,fun workplace
Positive,Nice working environment and space.
Positive,Fast and Easy interview and hiring process Flexible working hour as sales person Friendly Colleague
Positive,fun workplace if got some friends shift good team leader good salary and benefit OT they paid salary on time
Negative,Cons: 1 person would do jobs of 3 people at other banks Expected to learn on the go old tech and equipment
Positive,Pro: Pleasant environment.
Positive,"Our company offers exceptional benefits, including comprehensive health coverage, generous retirement plans, flexible work arrangements, professional development opportunities, wellness programs, and recognition for our hard work."
Positive,"But workers are very nice and friendly, sometimes got trips such as hiking to Mount Kinabalu"
Negative,Could be toxic and unbearable.
Positive,Productive and fun
Positive,"There's always something happening, which keeps the work engaging and helps sharpen multitasking and time management skills"
Negative,My mentor also talked bad about male colleague behind his back when male colleague took MC due to his illness.
Positive,Good environment good workplace excellent customer care service able to deliver customer satisfaction with care.
Positive,A good start for fresh graduate
Positive,Comprehensive rewards and employee wellness.
Positive,"Benefit and salary also good, "
Positive,Great teamwork
Negative,"No positive reviews, no work life balance."
Positive,Good working in maybank.
Positive,Over Productive.
Positive,Benefit: Intern can learn a lot of knowledge and skills here.
Negative,Very poor management
Negative,not recommended for those who didnt know handle their stress.
Negative,High work load with no work life balance
Negative,Not a good choice
Positive,what I enjoy while working in this company is being able to learn something new such as being able to communicate with a large number of customers because I am an introvert in talking to strangers and gaining experience in managing tasks or customers with a large number and making decisions quickly and accurately.
Positive,Productive and fundwork place.
Positive,This collaborative approach helped me to navigate the complexities of the job more effectively and ensured a smoother integration into the organizational dynamics.
Positive,This company provides a supportive and collaborative working environment where employees are encouraged to learn and grow professionally.
Positive,Very good team work to work with.
Positive,"The environment is supportive, with great leaders and amazing teammates who are always willing to help."
Negative,"Management is toxic, they do not care about your concerns."
Negative,Cons Promoted next grade slow Too many expatriates
Positive,Great place with great people.
Negative,"Citi staff were treated poorly after the transition, which made things even harder."
Positive,The best part was helping customers and resolving their issuesâit gave a real sense of accomplishment.
Positive,Employees who thrive under pressure and enjoy teamwork may find Public Bank a good place to build a long-term career.
Positive,I gained valuable insights into marketing and developed a stronger foundation for my career.
Positive,Good working place and provides a best working experience.
Positive,Fun workplace and good colleagues
Positive,Best place to learn new things 
Positive,"those who looking for experience, this is the place for you"
Positive,Good for new graduates to start their career in banking as you tend to do a lot of things.
Positive,"I love the environment and the people pay is good, bonus is just like 1/2 from 1 month salary"
Positive,Fun place to work
Positive,Managers are quite supportive despite i was in sales line.
Negative,"Low salary manager is not professional and experienced, need to find the solution and solve the problem by yourself."
Negative,Doing sales is the most stressful part 
Positive,Very productive
Positive,Bonus and increment are definitely the best in the market.
Positive,"My CIA and Head of Department is great, "
Positive,the most enjoyable part of the job is big bonus and medical expenses fully cover
Positive,Valuable Learning Experince
Positive,My department and team was very supportive.
Negative,"Unfortunately, management was unresponsive and showed little concern for employee well-being."
Positive,"Customer-Centric Values: Strong emphasis on delivering quality service, which builds purpose in daily work."
Negative,"Unclear expectations, poor communication, low morale."
Positive,Really good
Positive,Fun and supportive workplace
Positive,A good starting point for fresh graduate to start their career.
Negative,so tired even during the weekends have to work long hours.
Positive,Good work life balance great compensation.
Positive,Theyâre not just coworkers â theyâve become mentors who are always ready to help without hesitation.
Negative,No worklife balance
Positive,good for fresh grad that wants to pursue career in financial sector.
Positive,very good experience because can learn about work environment
Negative,"no good when things happened eg, customer complaint there is no one to help u & support u."
Positive,"Learning, growth and inclusive culture "
Positive,"The culture encouraged learning from one another, fostering a sense of teamwork and camaraderie."
Positive,"HR from HQ is friendly, helpful & response very fast on inquiries regarding the recruitment process."
Negative,Nothing good there
Negative,Nothing good there
Positive,Good work culture Good boss Good working environment Good colleagues Got engagement between team members 
Positive,Good company for your resume
Positive,Good place to start your finance entry level career
Negative,Cons: Management.
Positive,Productive and good food as always
Negative,Bosses not supportive at all and keep pressure us without listen to our opinions.
Positive,If you love to give service the job will be fun and enjoyable.
Positive,Having access to quality benefits and fair compensation not only enhances job satisfaction but also contributes to the salary.
Negative,the overall environment at UOB Bankâparticularly post-Citi Bank migrationâwas demoralizing.
Positive,"Good place to start for fresh graduates, offers a high starting salary but very long working hours."
Positive,"Working at Public Bank Berhad can be a rewarding yet demanding experience, especially in the fast-paced environment of a commercial bank."
Positive,I love the office environment where it has provided some entertainment space for fun & release stress.
Positive,"a positive workplace culture is one that is built on meaningful work, open communication, and core values."
Positive,good benefits and increment with bonus.
Negative,"No work-life balance, kindly expect this as you need to perform follow-ups."
Negative,"Kpi very strict, no work life balance"
Positive,work under minimal supervision as long as you are able to hit the KPI set by the management good manager and supervisor makes my work easier as they are willing to help me seek for approval with cases that require higher up to issue
Positive,"The great thing about the position, is the pay, bonuses and increment."
Positive,productive and fun
Positive,Recommended to join!
Positive,Fun place to work at.
Positive,One of the highlights of my time at Bank Rakyat was the willingness of my colleagues to share their knowledge and expertise.
Positive,My internship at Maybank was an incredibly valuable experience.
Positive,office is great and also get to wear casual wear to the office
Positive,Performance-driven Culture
Negative,No work-life balance.
Negative,No work-life balance.
Positive,My supervisor was very supportive in terms of my work and even career.
Negative,The work environment were stressful and pressure.
Negative,management not good 
Negative,"The culture was heavily politicized, with favoritism and internal politics often overshadowing merit and hard work."
Positive,"Maybank is a good place for fresh graduate, a lot you can learn and develop here."
Positive,Good staff benefit and learning place
Positive,"Iâm truly grateful, and I hope our bond continues to grow stronger as we move forward together."
Positive,Great benefit 
Positive,Productive and very friendly colleagues
Negative,The hardest part was staying motivated in a toxic environment.
Positive,Working at sales centre in shopping mall is quite fun.
Negative,No work life balance
Negative,No work life balance
Negative,No work life balance
Negative,No work life balance
Positive,"The environment was collaborative and supportive, with a strong focus on both employee development and customer satisfaction."
Positive,"Well Work Life Balance, Friendly Colleague"
Negative,High inbound rate and very stressful
Negative,"My mentor has very biased treatment, my mentor is always friendly towards the other colleagues (who are close to my mentor), but when comes to my male colleague (in same department) and me as a new worker, my mentor always give very bad compliment or judge us in a biased way."
Negative,Cons: favoritism
Positive,Great benefits and perks.
Positive,they really took a good care of their intern.
Negative,"My mentor also reacted excessively on trivial things about me and controlled me on every movement (""Don't show that you are not happy, because I saw you that you banged the table with documents"", while the actual event: The documents are too heavy that I can't carry properly, hence I have to arrange the documents with accidental bang)."
Positive,"Positive environment, flexible hours, great benefits."
Negative,Cons: no benefits for staff working for so long
Negative,I regret joining them.
Positive,Good experience Various benefits and care on employee.
Positive,A great place to learn and grow as an intern.
Negative,"Bosses with mood swings, low salary, terrible growth opportunities "
Positive,"Work culture is good, learning a lots, getting lots of knowledge of product."
Positive,place to gain experience and improving skills competitive career enhancement strict on compliance and penalty on the lapses job done good platform for your better career opportunities with other employer
Negative,Stress and rigid working environment without system and computers upgrade.
Positive,Good Environment for fresh grads.
Positive,Productive workplace
Positive,Fun workplace and nice working environment
Positive,Great benefits and team.
Positive,"UOB Customer Service Representative is a career that will help you prepare yourself with skills such as time management skills, multitasking, productivity management and you grow and stretch to go above and beyond to put a smile on customerâs face."
Positive,Career enhancing and good vibes.
Positive,Great collaborative culture
Positive,big bonus
Positive,The best working place for intern.
Positive,This not only served as a motivating factor but also reflected the organization's commitment to recognizing and rewarding the hard work of its employees.
Negative,Messy SOP No career advancement Old equipment Hard to apply for AL even got alot of it
Positive,"Happy, productive and fun workplace"
Positive,"Overall, my experience at Bank Rakyat was not only professionally rewarding but also personally fulfilling."
Negative,Bad corporate culture 
Positive,The best part of working at RHB was the supportive work environment and strong teamwork among colleagues.
Negative,Challenge: The working is quite stressful.
Positive,The remunerations given are very beneficial especially for holiday leave and medical benefit.
Negative,"Toxic, bad, negative."
Negative,Not good environment
Positive,"Employees value these perks, which contribute to their overall job satisfaction."
Positive,"Maybank offers competitive compensation, health insurance, retirement benefits, and wellness programs. "
Positive,The team really supportive and helpful especially when youre having trouble/problem in your work.
Positive,Working at Bank Rakyat as a contract executive for two years was a valuable and enriching experience.
Negative,"Working here means forgetting of going back on time, the very first day itself the manager told me "" here i don't want people to go back on time"" usual working time is from 08:45 am to 5:45pm but you are required to work more but none is claimable."
Negative,Bad experience
Positive,Staff benefits is very very good in this company.
Positive,"Employees often note that the company invests in their professional development, with various training programs and mentorship opportunities available to support career progression."
Negative,"Poor management and leadership, with a lack of recognition for employees who go above and beyond their regular duties."
Positive,"Good benefit, good exposure, best enviroment, good bonus and everything."
Positive,Productive and work fun place
Negative,"Operation Team negative: Lack of staff lead to task overloaded, will be under pressure a lot."
Positive,"The benefit are superb , you can claim everything for personal things ie hotel , flight ticket , sport & etc."
Positive,"The management is approachable, teamwork is highly valued, and there are good opportunities to gain hands-on experience and develop both technical and soft skills."
Positive,"The work culture is generally positive with supportive and fun colleagues, and the bank offers good flexibility through work-from-home arrangements for specific departments."
Positive,Great bonus and increment.
Positive,Very recommended to work.
Positive,"My experience working here has been largely positive, with a supportive environment that encourages learning and growth."
Positive,positive: The allowance was good.
Positive,I had a great experience working at Bank Islam.
Positive,"Good and friendly staff , senior staff more helpful "
Positive,a good start for fresh grad who are willing to work under stress
Positive,"A typical day at work and i believe i've learned a lot of skills such as communicating, more time managing and stuff like that and the work place is rwally good"
Positive,"It gave me a sense of personal accomplishment, "
Positive,The company has a fast-paced and high-performance work culture that challenges you to grow.
Positive,The best experience ever.
Negative,Stressful for sales staff 
Positive,The workplace and work-culture appreciate people who are working overtime.
Positive,great
Positive,Productive and fun environment
Negative,'- Boss treats workers like highschoolers
Positive,"Good compensation in term of flexi care which you can claim for flight, sport items, hobby class ++."
Positive,Kudos for that.
Negative,"One step wrong, crazy amount of OT and gaslighting."
Positive,"Great management, supportive culture."
Positive,"The job is fun, especially for those who like to talk to people and assist them."
Positive,Maybank offers a fun and healthy work environment where employees were able to work and strive to be better everyday.
Positive,The staff and taller very helpful and good place to enhance skill and also good for your career
Positive,Productive and supportive team
Positive,"The team was supportive and always willing to offer guidance, helping me grow both personally and professionally."
Positive,"I truly value the positive and professional work environment they create, filled with teamwork, respect, and mutual support."
Positive,Great Place for work
Negative,Not a productive environment to work with
Positive,It's a great place to work... 
Positive,"The working environment is very positive, it is very inclusive and the colleagues are very supportive."
Negative,But overall very bad Team Leader manager.
Positive,Productive and fun workplace
Positive,The supportive and friendly nature of my colleagues significantly contributed to making the overall work environment positive.
Positive,"Very Good Salary, Training"
Positive,Superiors r very helpful and knowledgeable.
Positive,Great company to work for
Positive,Pro: Good for fresh graduate as a learning centre
Positive,My internship experience has been incredibly rewarding.
Negative,Cons: salary not balance
Positive,"The combination of a supportive work environment, generous bonuses, and the opportunity to learn from experienced colleagues made it a positive chapter in my career."
Positive,It is a very good company to start your career with great salary package for fresh graduates.
Positive,"Great team, supportive culture, challenging work."
Positive,"The management encouraged growth, provided continuous training, and valued employeesâ contributions, making it a great place to build a long term career."
Positive,"Supportive bosses, ceo , staff ."
Negative,"I would say run while you can, there is no good employee welfare, pantry is provided but not with food, works are expected to be learnt in one go despite learning phase."
Positive,"Employees appreciate the flexibility in working hours, the option for remote work (in some roles), and generous leave policies."
Positive,Productive and good for self advancement
Negative,Cons - The senior management will keep chasing you when something urgent requires your help and don't even bother you at other times.
Negative,Simply appalling
Negative,the hardest part of the job is current manager is toxic .
Negative,"but they failed my expectations, too stressful and unable to handle it, very very lousy management"
Positive,Best place to have an internship
Negative,workplace culture not ok because senior behave like intern .
Negative,Very toxic management style.
Negative,"Constant stress, unclear roles, and no team support"
Positive,They genuinely care about the teamâs well-being and motivate us with positivity and encouragement.
Positive,"I especially appreciated the structured training programs and the emphasis on teamwork, which helped me develop valuable skills in financial services and customer relations."
Negative,No work life balance and they will pressure you all the time
